Thu Apr 10 20:18:29 2025 | Prediction: 1 | URL: https://caniphish.com/free-phishing-test/phishing-website-templates#signupForm
Thu Apr 10 20:18:48 2025 | Prediction: 1 | URL: https://caniphish.com/free-phishing-test/phishing-website-templates#signupForm
Thu Apr 10 20:19:43 2025 | Prediction: 1 | URL: https://www.google.com/search?gs_ssp=eJzj4tLP1TcwMre0KKowYPSSLC7Ry8ovTi3IUEjOz8lJTU9VSM5IzctLzAQA7MsM9w&q=st.joseph+college+chennai&rlz=1C1RXQR_en-GBIN1105IN1109&oq=st.jose&gs_lcrp=EgZjaHJvbWUqBwgBEC4YgAQyCggAEC4YyQMYgAQyBwgBEC4YgAQyBwgCEC4YgAQyBggDEEUYOTINCAQQABiSAxiABBiKBTIHCAUQLhiABDIHCAYQABiABDIHCAcQABiABDIHCAgQABiABNIBCTU3NDFqMGoxNagCCLACAfEFRUV_uiXFKqA&sourceid=chrome&ie=UTF-8
Thu Apr 10 20:19:44 2025 | Prediction: 1 | URL: https://www.google.com/search?gs_ssp=eJzj4tLP1TcwMre0KKowYPSSLC7Ry8ovTi3IUEjOz8lJTU9VSM5IzctLzAQA7MsM9w&q=st.joseph+college+chennai&rlz=1C1RXQR_en-GBIN1105IN1109&oq=st.jose&gs_lcrp=EgZjaHJvbWUqBwgBEC4YgAQyCggAEC4YyQMYgAQyBwgBEC4YgAQyBwgCEC4YgAQyBggDEEUYOTINCAQQABiSAxiABBiKBTIHCAUQLhiABDIHCAYQABiABDIHCAcQABiABDIHCAgQABiABNIBCTU3NDFqMGoxNagCCLACAfEFRUV_uiXFKqA&sourceid=chrome&ie=UTF-8
Thu Apr 10 20:24:55 2025 | Prediction: 1 | URL: https://caniphish.com/free-phishing-test/phishing-website-templates#signupForm
Thu Apr 10 20:25:44 2025 | Prediction: 1 | URL: https://www.google.com/search?q=st.joseph+college+chennai&rlz=1C1RXQR_en-GBIN1105IN1109&oq=&gs_lcrp=EgZjaHJvbWUqCQgAEEUYOxjCAzIJCAAQRRg7GMIDMgkIARBFGDsYwgMyCQgCEEUYOxjCAzIJCAMQRRg7GMIDMhEIBBAAGAMYQhiPARi0AhjqAjIRCAUQABgDGEIYjwEYtAIY6gIyEQgGEAAYAxhCGI8BGLQCGOoCMhEIBxAAGAMYQhiPARi0AhjqAtIBCTE3NzhqMGoxNagCCLACAfEFCaE-qsfckrA&sourceid=chrome&ie=UTF-8
Thu Apr 10 20:28:27 2025 | Prediction: 1 | URL: https://stjosephs.ac.in/index.html
Thu Apr 10 20:28:41 2025 | Prediction: 1 | URL: https://caniphish.com/free-phishing-test/phishing-website-templates#signupForm
Thu Apr 10 20:37:48 2025 | Prediction: 1 | URL: https://www.google.com/search?q=phishing+websites+list&rlz=1C1RXQR_en-GBIN1105IN1109&oq=&gs_lcrp=EgZjaHJvbWUqCQgBEEUYOxjCAzIJCAAQRRg7GMIDMgkIARBFGDsYwgMyCQgCEEUYOxjCAzIJCAMQRRg7GMIDMhEIBBAAGAMYQhiPARi0AhjqAjIRCAUQABgDGEIYjwEYtAIY6gIyEQgGEAAYAxhCGI8BGLQCGOoCMhEIBxAAGAMYQhiPARi0AhjqAtIBCTUwMDdqMGoxNagCCLACAfEFdTIoHa0Ae2zxBXUyKB2tAHts&sourceid=chrome&ie=UTF-8
Thu Apr 10 20:37:51 2025 | Prediction: 1 | URL: https://www.google.com/search?q=phishing+websites+list&rlz=1C1RXQR_en-GBIN1105IN1109&oq=&gs_lcrp=EgZjaHJvbWUqCQgBEEUYOxjCAzIJCAAQRRg7GMIDMgkIARBFGDsYwgMyCQgCEEUYOxjCAzIJCAMQRRg7GMIDMhEIBBAAGAMYQhiPARi0AhjqAjIRCAUQABgDGEIYjwEYtAIY6gIyEQgGEAAYAxhCGI8BGLQCGOoCMhEIBxAAGAMYQhiPARi0AhjqAtIBCTUwMDdqMGoxNagCCLACAfEFdTIoHa0Ae2zxBXUyKB2tAHts&sourceid=chrome&ie=UTF-8
Thu Apr 10 20:38:03 2025 | Prediction: 1 | URL: https://caniphish.com/free-phishing-test/phishing-website-templates
